name;instance_size;time;memory;min_path;path;real result;real path
matrix12;12;384,0272112;;264;[0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 0];264; [0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0,003015518;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0,00399065;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,007978678;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,005984068;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;1,459446907;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;17,92299819;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0,003988743;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0,004987001;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,006980896;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
matrix6_2;6;0,004986286;;80;[0, 5, 1, 2, 3, 0];80; [0, 5, 1, 2, 3, 4, 0]
matrix10;10;1,399532795;;212;[0, 3, 4, 2, 8, 7, 6, 9, 1, 0];212; [0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0]
matrix_my_11;11;18,30727005;;251;[0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 0];251; [0, 1, 8, 4, 6, 2, 9, 7, 5, 3, 10, 0]
;;;;;;;
matrix_my_4;4;0,002979755;;38;[0, 1, 2, 0];38; [0, 1, 2, 3, 0]
matrix_my_5;5;0,004984617;;42;[0, 1, 4, 3, 0];42; [0, 1, 4, 3, 2, 0]
matrix6_1;6;0,006239653;;132;[0, 1, 2, 3, 4, 0];132; [0, 1, 2, 3, 4, 5, 0]
